Roll,Pitch,Yaw,Alt,Lat,Lng,Category
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,360.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,360.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.1200008392,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.1399993896,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.1800003052,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.209999084499998,49.28357000000001,-123.11502,0
-0.18,-0.15,359.99,30.270000457800002,49.28357000000001,-123.11502,0
-0.5,-0.41,359.99,30.3899993896,49.28357000000001,-123.11502,0
-0.74,-0.62,359.99,30.540000915500002,49.28357000000001,-123.11502,0
-0.83,-0.72,359.98,30.7000007629,49.28357000000001,-123.11502,0
-0.78,-0.68,359.97,30.8500003815,49.28357000000001,-123.1150201,0
-0.63,-0.55,359.96,31.010000228899997,49.2835701,-123.1150201,0
-0.39,-0.39,359.95,31.159999847399998,49.2835701,-123.1150202,0
-0.17,-0.21,359.94,31.329999923699997,49.2835701,-123.1150203,0
-0.02,-0.07,359.93,31.5,49.28357020000001,-123.11502040000002,0
0.04,0.01,359.93,31.670000076300006,49.28357020000001,-123.1150205,0
0.06,0.05,359.93,31.8500003815,49.2835703,-123.1150205,0
0.05,0.05,359.93,32.0400009155,49.2835703,-123.1150206,0
0.05,0.03,359.93,32.2200012207,49.2835703,-123.1150207,0
0.07,0.02,359.93,32.4199981689,49.2835703,-123.1150207,0
0.09,0.05,359.93,32.6100006104,49.2835703,-123.11502079999998,0
0.11,0.1,359.93,32.8100013733,49.2835704,-123.11502079999998,0
0.13,0.15,359.94,33.0099983215,49.2835704,-123.11502079999998,0
0.15,0.19,359.94,33.2099990845,49.2835704,-123.1150209,0
0.18,0.21,359.94,33.409999847399995,49.2835704,-123.1150209,0
0.2,0.21,359.94,33.6199989319,49.2835704,-123.1150209,0
0.18,0.2,359.94,33.8300018311,49.2835704,-123.1150209,0
0.15,0.16,359.94,34.0400009155,49.2835704,-123.1150209,0
0.13,0.1,359.94,34.25,49.2835706,-123.1150209,0
0.1,0.06,359.94,34.4599990845,49.2835706,-123.1150209,0
0.08,0.04,359.94,34.6699981689,49.2835706,-123.1150209,0
0.07,0.04,359.93,34.8899993896,49.2835706,-123.1150209,0
